,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
79,Otras actividades profesionales cientificas y tecnicas n c p,SALGAR,ANTIOQUIA,CARRERA 29 28 02 EL COLISE,http://empresite.eleconomistaamerica.co/AGROGENESIS-SOLAR-SAS.html,AGROGENESIS SOLAR S A S,ENERGIA-SOLAR,3216771487
80,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,MEDELLIN,ANTIOQUIA,CARRERA 76 A 53 215 BLOQ 3 A,http://empresite.eleconomistaamerica.co/SEGURIDAD-CONTROL-SOLAR-SAS.html,SEGURIDAD Y CONTROL SOLAR S A S,ENERGIA-SOLAR,3147356495
81,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CALLE 51 B 81 A 29,http://empresite.eleconomistaamerica.co/QUANTUM-SOLARIS-SAS.html,QUANTUM SOLARIS S A S,ENERGIA-SOLAR,(4)5820711
82,Actividades de apoyo terapeutico,MEDELLIN,ANTIOQUIA,CARRERA 35 A 15 B 35 OF 802,http://empresite.eleconomistaamerica.co/TECNICA-SOLARTE-SAS.html,TECNICA SOLARTE S A S,ENERGIA-SOLAR,(4)3318058
83,Comercio al por mayor de aparatos y equipo de uso domestico,MEDELLIN,ANTIOQUIA,CARRERA 33 7 99,http://empresite.eleconomistaamerica.co/OR-SOLAR-ENERGIES-SAS.html,OR SOLAR ENERGIES S A S,ENERGIA-SOLAR,(4)3118209
84,Actividades de produccion de peliculas cinematograficas videos programas anuncios y comerciales de television,MEDELLIN,ANTIOQUIA,CARRERA 42 50 A 42 APTO 50,http://empresite.eleconomistaamerica.co/PRODUCTORA-SOLAR-SAS.html,PRODUCTORA SOLAR S A S,ENERGIA-SOLAR,3164457543
85,Terminacion y acabado de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 45 84 47,http://empresite.eleconomistaamerica.co/MCG-SEGURIDAD-PROTECCION-SOLAR-LTDA.html,MCG SEGURIDAD Y PROTECCION SOLAR S A S,ENERGIA-SOLAR,(4)4447903
86,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,MEDELLIN,ANTIOQUIA,CARRERA 34 7 73,http://empresite.eleconomistaamerica.co/PROTECCION-SOLAR-AMERICANA-SAS.html,PROTECCION SOLAR AMERICANA S A S,ENERGIA-SOLAR,(4)3663734
87,Fabricacion de vidrio y productos de vidrio,MEDELLIN,ANTIOQUIA,CARRERA 43 A 11 85 OF 208,http://empresite.eleconomistaamerica.co/CPS-CRISTAL-PELICULAS-CONTROL-SOLAR-SA.html,C P S CRISTAL Y PELICULAS DE CONTROL SOLAR S A,ENERGIA-SOLAR,(4)3114264
88,Otras actividades profesionales cientificas y tecnicas n c p,MEDELLIN,ANTIOQUIA,CARRERA 46 93 140,http://empresite.eleconomistaamerica.co/CORPORACION-SOLAR-ARANJUEZ.html,CORPORACION EL SOLAR DE ARANJUEZ,ENERGIA-SOLAR,(4)5808514
89,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 7 SUR 42 70 OF 2501,http://empresite.eleconomistaamerica.co/INVERSIONES-PROYECTOS-SOLARIS-SA.html,INVERSIONES Y PROYECTOS SOLARIS S A,ENERGIA-SOLAR,(4)3107070
90,Fabricacion de otros tipos de maquinaria y equipo de uso general n c p,MEDELLIN,ANTIOQUIA,CALLE 12 S 25 127 INT 404,http://empresite.eleconomistaamerica.co/HSS-SOLAR-SA.html,H S S SOLAR S A S,ENERGIA-SOLAR,(4)3173420
91,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,MEDELLIN,ANTIOQUIA,CARRERA 77 D 53 81,http://empresite.eleconomistaamerica.co/IMPACTO-SOLAR-SAS.html,IMPACTO SOLAR S A S,ENERGIA-SOLAR,(4)4444960
92,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,CARRERA 36 10 B 71,http://empresite.eleconomistaamerica.co/ORQUIDEA-SOLAR-SAS.html,ORQUIDEA SOLAR S A S,ENERGIA-SOLAR,(4)3115158
93,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CARRERA 51 53 24 OF 302,http://empresite.eleconomistaamerica.co/CUBIERTAS-SOLUCIONES-SOLARES-SAS.html,CUBIERTAS Y SOLUCIONES SOLARES S A S,ENERGIA-SOLAR,3194444457
94,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CARRERA 85 35 41 INT 1013,http://empresite.eleconomistaamerica.co/ENERGIA-DESARROLLO-PROYECTOS-SAS.html,ENERGIA Y DESARROLLO DE PROYECTOS S A S,MANTENIMIENTO-DE-PROYECTOS-DE-ENERGIA-SOLAR,(4)5537802
95,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,ITAGUI,ANTIOQUIA,CARRERA 42 51 34,http://empresite.eleconomistaamerica.co/FERRAGRO-SAS.html,FERRAGRO S A S,MANTENIMIENTO-ENERGIA-SOLAR,3117207435
96,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 50 68 105,http://empresite.eleconomistaamerica.co/ENERGIA-SOLAR-COLOMBIA-SAS.html,ENERGIA SOLAR COLOMBIA S A S,MANTENIMIENTO-ENERGIA-SOLAR,(4)4771309
97,Mantenimiento y reparacion especializado de maquinaria y equipo,MEDELLIN,ANTIOQUIA,CALLE 20 A 73 16,http://empresite.eleconomistaamerica.co/ENERGIA-COMPUTADORES-MANTENIMIENTO-LTDA.html,ENERGIA COMPUTADORES Y MANTENIMIENTO S A S,MANTENIMIENTO-ENERGIA-SOLAR,(4)2563897
98,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 49 50 21 OF 2706,http://empresite.eleconomistaamerica.co/MANTENIMIENTO-MONTAJE-PLANTAS-GENERADORAS-ENERGIA-SUR-MYM-GENSUR-SAS.html,MANTENIMIENTO Y MONTAJE DE PLANTAS GENERADORAS DE ENERGIA DEL SUR M Y M GENSUR S A S,MANTENIMIENTO-ENERGIA-SOLAR,3206108111
99,Instalaciones de fontaneria calefaccion y aire acondicionado,MEDELLIN,ANTIOQUIA,CALLE 51 21 27,http://empresite.eleconomistaamerica.co/INDUSTRIA-COLOMBO-ESPANOLA-ENERGIA-SOLAR-SAS.html,INDUSTRIA COLOMBO ESPANOLA DE ENERGIA SOLAR S A S,MANTENIMIENTO-ENERGIA-SOLAR,3155649552
100,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 10 SU  52 06,http://empresite.eleconomistaamerica.co/ESI-ENERGIA-SOLAR-SAS.html,ESI ENERGIA SOLAR S A S,MANTENIMIENTO-ENERGIA-SOLAR,3206083907
101,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,ITAGUI,ANTIOQUIA,CARRERA 42 51 34,http://empresite.eleconomistaamerica.co/FERRAGRO-SAS.html,FERRAGRO S A S,PANELES-SOLARES,3117207435
102,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,RIONEGRO,ANTIOQUIA,LUGAR LA REGIONAL AER BG 6,http://empresite.eleconomistaamerica.co/ARQCLASS-SAS.html,ARQCLASS S A S,PANELES-SOLARES,(4)4483002
103,Otras industrias manufactureras n c p,MEDELLIN,ANTIOQUIA,CARRERA 65 C 16 A 44,http://empresite.eleconomistaamerica.co/AMC-POLIURETANOS-SA.html,AMC POLIURETANOS S A S,PANELES-SOLARES,(4)4440880
104,Fabricacion de articulos de plastico n c p,CALDAS,ANTIOQUIA,CARRERA 49 125 SUR 153,http://empresite.eleconomistaamerica.co/MATERIALES-BIOCOMPUESTOS-PANELES-SAS.html,MATERIALES BIOCOMPUESTOS Y PANELES S A S,PANELES-SOLARES,3128390176
105,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CARRERA 51 53 24 OF 302,http://empresite.eleconomistaamerica.co/CUBIERTAS-SOLUCIONES-SOLARES-SAS.html,CUBIERTAS Y SOLUCIONES SOLARES S A S,PANELES-SOLARES,3194444457
106,Fabricacion de generadores de vapor excepto calderas de agua caliente para calefaccion central,MEDELLIN,ANTIOQUIA,CALLE 48 37 14,http://empresite.eleconomistaamerica.co/EASTMAN-SOLUCIONES-TERMICAS-SOLARES-SAS.html,EASTMAN SOLUCIONES TERMICAS SOLARES S A S,PANELES-SOLARES,(4)3662307
107,Actividades inmobiliarias realizadas con bienes propios o arrendados,ITAGUI,ANTIOQUIA,CALLE 83 A 46 80 BL 25,http://empresite.eleconomistaamerica.co/GENERACION-DWSA.html,GENERACION D W S A,GENERACION-FOTOVOLTAICA,(4)3117621
108,Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 10 52 A 18 LOC 117,http://empresite.eleconomistaamerica.co/GENERACION-21-LTDA.html,GENERACION 21 S A S,GENERACION-FOTOVOLTAICA,(4)3616239
109,Alojamiento en hoteles,GIRARDOTA,ANTIOQUIA,VEREDA LA MATICA PARTE BAJA DE GIRARDOTA KM 25,http://empresite.eleconomistaamerica.co/GENERACION-CALO-SAS.html,GENERACION CALO S A S,GENERACION-FOTOVOLTAICA,(4)3727080
110,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CALLE 18 35 69,http://empresite.eleconomistaamerica.co/GENERACION-VIDA-SAS.html,GENERACION Y VIDA S A S,GENERACION-FOTOVOLTAICA,(4)3126580
111,Otras actividades de distribucion de fondos,MEDELLIN,ANTIOQUIA,CARRERA 68 A 42 40 PISO 2,http://empresite.eleconomistaamerica.co/GENERACION-RUTA-SAS.html,GENERACION RUTA S A S,GENERACION-FOTOVOLTAICA,(4)2302625
112,Actividades inmobiliarias realizadas con bienes propios o arrendados,MEDELLIN,ANTIOQUIA,CALLE 15 35 1 ED C 34,http://empresite.eleconomistaamerica.co/GENERACIONES-JCM-SAS.html,GENERACIONES JCM S A S,GENERACION-FOTOVOLTAICA,(4)3666025
113,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 21 SUR 41 A 71,http://empresite.eleconomistaamerica.co/GENERACION-ENERGIA-LTDA.html,GENERACION Y ENERGIA LTDA,GENERACION-FOTOVOLTAICA,(4)3130033
114,Generacion de energia electrica,ENVIGADO,ANTIOQUIA,CARRERA 48 25 B SUR 12,http://empresite.eleconomistaamerica.co/GENERACION-ENERGIA-SA.html,GENERACION DE ENERGIA S A S E S P,GENERACION-FOTOVOLTAICA,3002788274
115,Mantenimiento y reparacion especializado de equipo electrico,MEDELLIN,ANTIOQUIA,CALLE 34 81 A 112,http://empresite.eleconomistaamerica.co/GENERACION-CONTROL-SAS.html,GENERACION Y CONTROL S A S,GENERACION-FOTOVOLTAICA,(4)4449824
116,Comercio al por menor de articulos y utensilios de uso domestico,MEDELLIN,ANTIOQUIA,CALLE 29 C 55 09 INT 201,http://empresite.eleconomistaamerica.co/GENERACIONES-SALUDABLES-SAS.html,GENERACIONES SALUDABLES S A S,GENERACION-FOTOVOLTAICA,3007568976
117,Comercio al por mayor de otros productos n c p,MEDELLIN,ANTIOQUIA,CARRERA 48 10 45 INTERIOR,http://empresite.eleconomistaamerica.co/GENERACION-PC-GVG-SAS.html,GENERACION PC GVG S A S,GENERACION-FOTOVOLTAICA,(4)2682749
118,Mantenimiento y reparacion de vehiculos automotores,MEDELLIN,ANTIOQUIA,CALLE 13 SU 51 C 55,http://empresite.eleconomistaamerica.co/GENERACION-DIESEL-SAS.html,GENERACION DIESEL S A S,GENERACION-FOTOVOLTAICA,(4)2550099
119,Actividades inmobiliarias realizadas con bienes propios o arrendados,COPACABANA,ANTIOQUIA,CALLE 49 51 34,http://empresite.eleconomistaamerica.co/GENERACION-INMOBILIARIA-SAS.html,GENERACION INMOBILIARIA S A S,GENERACION-FOTOVOLTAICA,(4)6022366
120,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 76 80 205 APTO 102,http://empresite.eleconomistaamerica.co/GENERACION-PACIFICO-SAS.html,GENERACION PACIFICO S A S,GENERACION-FOTOVOLTAICA,(4)4227271
121,Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CALLE 51 55 33,http://empresite.eleconomistaamerica.co/GENERACIONES-ELECTRICAS-SAS.html,GENERACIONES ELECTRICAS SAS,GENERACION-FOTOVOLTAICA,(4)4489151
122,Otros tipos de comercio al por menor no realizado en establecimientos puestos de venta o mercados,MARINILLA,ANTIOQUIA,CALLE 30 48 40 EL PINAR,http://empresite.eleconomistaamerica.co/GENERACION-SALUDABLE-SAS.html,GENERACION SALUDABLE S A S,GENERACION-FOTOVOLTAICA,3117869083
123,Establecimientos que combinan diferentes niveles de educacion,APARTADO,ANTIOQUIA,CARRERA 106C 111 11,http://empresite.eleconomistaamerica.co/GENERACION-INCLUSIVA-SAS.html,GENERACION INCLUSIVA S A S,GENERACION-FOTOVOLTAICA,3122309484
124,Fabricacion de articulos de plastico n c p,MEDELLIN,ANTIOQUIA,CALLE 65 74 C 24,http://empresite.eleconomistaamerica.co/GENERACIONES-PLASTICAS-GPLAST-LTDA.html,GENERACIONES PLASTICAS GPLAST S A S,GENERACION-FOTOVOLTAICA,(4)2352158
125,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 4 SUR  43A 109,http://empresite.eleconomistaamerica.co/GENERACION-INTERCONEXION-ELECTRICA-PACIFICO-SAS.html,GENERACION E INTERCONEXION ELECTRICA DEL PACIFICO S A S,GENERACION-FOTOVOLTAICA,3217857028
126,Instalaciones electricas,MEDELLIN,ANTIOQUIA,DIAGONAL 85 79 75,http://empresite.eleconomistaamerica.co/3C-GENERACION-SAS.html,3C GENERACION S A S,GENERACION-FOTOVOLTAICA,(4)5780198
127,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,FINCA 31 SAN BERNARDO VEREDA BATEA SE,http://empresite.eleconomistaamerica.co/EMPRESA-GLOBAL-GENERACION-ENERGIAS-RENOVABLES-SAS.html,EMPRESA GLOBAL DE GENERACION DE ENERGIAS RENOVABLES S A S,GENERACION-FOTOVOLTAICA,3147741226
128,Terminacion y acabado de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 95 36 26,http://empresite.eleconomistaamerica.co/FUNDACION-SOCIAL-NUEVA-GENERACION-AGAPE.html,FUNDACION SOCIAL NUEVA GENERACION AGAPE,GENERACION-FOTOVOLTAICA,3188553875
129,Explotacion mixta (agricola y pecuaria),MEDELLIN,ANTIOQUIA,CARRERA 65 78 190,http://empresite.eleconomistaamerica.co/AGROPECUARIA-TERCERA-GENERACION-SAS.html,AGROPECUARIA TERCERA GENERACION S A S,GENERACION-FOTOVOLTAICA,(4)4415828
130,Comercio al por menor de otros productos nuevos en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 52 45 92 OF 306,http://empresite.eleconomistaamerica.co/CI-INVERSIONES-GUAYAQUIL-NUEVA-GENERACION-COMPANIA-SCA.html,C I INVERSIONES GUAYAQUIL NUEVA GENERACION Y COMPANIA S C A,GENERACION-FOTOVOLTAICA,(4)5118117
131,Actividades de atencion residencial para el cuidado de pacientes con retardo mental enfermedad mental y consumo de sustancias psicoactivas,MEDELLIN,ANTIOQUIA,CARRERA 50 A 60 33,http://empresite.eleconomistaamerica.co/CORPORACION-CENTRO-RESTAURACION-GENERACION-ROAH.html,CORPORACION CENTRO DE RESTAURACION GENERACION ROAH,GENERACION-FOTOVOLTAICA,(4)2542063
132,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 53 45 112,http://empresite.eleconomistaamerica.co/EMPRESA-GENERACION-PROMOCION-ENERGIA-ANTIOQUIA-SAESP.html,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S A E S P,GENERACION-FOTOVOLTAICA,(4)3229910
133,Organizacion de convenciones y eventos comerciales,MEDELLIN,ANTIOQUIA,CARRERA 43 A 5 A 113 812 813,http://empresite.eleconomistaamerica.co/QUINTA-GENERACION-SAS.html,QUINTA GENERACION S A S,GENERACION-FOTOVOLTAICA,(4)2680232
134,Otras actividades recreativas y de esparcimiento n c p,MEDELLIN,ANTIOQUIA,CARRERA 26 49 A 61,http://empresite.eleconomistaamerica.co/CORPORACION-JUVENIL-GENERACION-LIMITES.html,CORPORACION JUVENIL GENERACION SIN LIMITES,GENERACION-FOTOVOLTAICA,(4)2690418
135,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CALLE 50 48 3 OF 202,http://empresite.eleconomistaamerica.co/CORPORACION-GENERACION-ACTIVA.html,CORPORACION GENERACION ACTIVA EN LIQUIDACION,GENERACION-FOTOVOLTAICA,(4)5122913
136,Otras actividades de asistencia social sin alojamiento,MEDELLIN,ANTIOQUIA,CALLE 30 82 C 027 AP 301,http://empresite.eleconomistaamerica.co/SERVICIOS-INTEGRALES-GERONTOLOGICOS-GENERACIONES-MOVIMIENTO-LTDA.html,SERVICIOS INTEGRALES GERONTOLOGICOS GENERACIONES EN MOVIMIENTO LTDA,GENERACION-FOTOVOLTAICA,(4)3411070
137,Comercio al por menor de combustible para automotores,MEDELLIN,ANTIOQUIA,CALLE 5 SUR 32 A 15 APTO 70,http://empresite.eleconomistaamerica.co/SEGUNDA-GENERACION-SAS.html,SEGUNDA GENERACION S A S,GENERACION-FOTOVOLTAICA,(4)5834626
138,Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CALLE 12 A 30 29,http://empresite.eleconomistaamerica.co/FUNDACION-ALIANZA-GENERACIONAL-ANTIOQUIA.html,FUNDACION ALIANZA GENERACIONAL DE ANTIOQUIA EN LIQUIDACION,GENERACION-FOTOVOLTAICA,(4)4224545
139,Otras actividades de asistencia social sin alojamiento,MEDELLIN,ANTIOQUIA,CALLE 48 56 10,http://empresite.eleconomistaamerica.co/FUNDACION-GENERACION-VISIBLE.html,FUNDACION GENERACION VISIBLE,GENERACION-FOTOVOLTAICA,(4)3665417
140,Actividades de otras asociaciones n c p,BELLO,ANTIOQUIA,CALLE 49 53 A 34,http://empresite.eleconomistaamerica.co/FUNDACION-GENERACION-RELEVANTE.html,FUNDACION GENERACION RELEVANTE,GENERACION-FOTOVOLTAICA,(4)6008932
141,Actividades de otras asociaciones n c p,BELLO,ANTIOQUIA,CALLE 30 D 50 A 32 INT 202,http://empresite.eleconomistaamerica.co/CORPORACION-AMBIENTAL-GENERACION-VERDE.html,CORPORACION AMBIENTAL GENERACION VERDE,GENERACION-FOTOVOLTAICA,3146864323
142,Actividades de consultaria de gestion,BELLO,ANTIOQUIA,CALLE 20 E 76 23 APT 201,http://empresite.eleconomistaamerica.co/CORPORACION-SOCIAL-NUEVA-GENERACION.html,CORPORACION SOCIAL NUEVA GENERACION,GENERACION-FOTOVOLTAICA,(4)4624559
143,Comercio al por menor de otros articulos culturales y de entretenimiento n c p en establecimientos especializados,MEDELLIN,ANTIOQUIA,CALLE 53 43 76,http://empresite.eleconomistaamerica.co/DISCOTIENDA-CRISTIANA-NUEVA-GENERACION-LTDA.html,DISCOTIENDA CRISTIANA NUEVA GENERACION SAS,GENERACION-FOTOVOLTAICA,(4)2163594
144,Actividades de saneamiento ambiental y otros servicios de gestion de desechos,MEDELLIN,ANTIOQUIA,CARRERA 32 A 102 B 53,http://empresite.eleconomistaamerica.co/PRECOOPERATIVA-TRABAJO-ASOCIADO-NUEVA-GENERACION-AMBIENTAL.html,PRECOOPERATIVA DE TRABAJO ASOCIADO NUEVA GENERACION AMBIENTAL,GENERACION-FOTOVOLTAICA,
145,Comercio al por menor de libros periodicos materiales y articulos de papeleria y escritorio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 48 B 85 04 APTO 402,http://empresite.eleconomistaamerica.co/NUEVA-GENERACION-EDUCATIVA-SAS.html,NUEVA GENERACION EDUCATIVA S A S,GENERACION-FOTOVOLTAICA,3154438092
146,Otras actividades de asistencia social sin alojamiento,MEDELLIN,ANTIOQUIA,CARRERA 77 48 01,http://empresite.eleconomistaamerica.co/FUNDACION-CRISTIANA-NUEVA-GENERACION.html,FUNDACION CRISTIANA NUEVA GENERACION,GENERACION-FOTOVOLTAICA,(4)2342847
147,Actividades de otras asociaciones n c p,PUERTO TRIUNFO,ANTIOQUIA,CALLE 10 12 17 CORR ESTACION COCORNA,http://empresite.eleconomistaamerica.co/ASOCIACION-GENERACION-VIDA-DIGNA.html,ASOCIACION GENERACION VIDA DIGNA,GENERACION-FOTOVOLTAICA,3138190250
148,Actividades de otras asociaciones n c p,BAGRE,ANTIOQUIA,LUGAR EL BAGRE LAS DELICIAS,http://empresite.eleconomistaamerica.co/ASOCIACION-JUVENIL-GENERACION-OPORTUNIDADES-AJGEO.html,ASOCIACION JUVENIL GENERACION DE OPORTUNIDADES AJGEO,GENERACION-FOTOVOLTAICA,3104648863
